,Column1,Column2,Column3
0,2,A,0.9921031178774589
1,2,A,0.6855456281701344
2,6,A,0.1245008794097322
3,1,A,0.31683228959067056
4,3,C,0.9047126215356189
5,9,C,0.5643469071005683
6,6,A,0.6264149052722574
7,1,A,0.02485870926502154
8,0,C,0.34935996054069474
9,1,B,0.2751559469135332
10,9,B,0.11291030295930982
11,0,C,0.06872283426822612
12,0,A,0.9463669287915807
13,9,C,0.5255580945782187
14,3,A,0.3807307378527256
15,4,B,0.8511246786088325
16,0,A,0.7706774708192189
17,0,A,0.6691632741222664
18,4,A,0.7509204607600775
19,1,A,0.7582152453100417
20,7,B,0.06023323904874511
21,3,C,0.801396721989388
22,2,B,0.4882553229997061
23,4,C,0.7068911582321843
24,7,C,0.9699774276381311
25,2,B,0.03717262394484544
26,4,A,0.8475023044218035
27,8,A,0.9808097322623659
28,0,A,0.753107782893438
29,7,B,0.49885461504520656
30,9,C,0.7142073081573747
31,3,B,0.5725538764720417
32,4,A,0.27365184315362523
33,6,A,0.30381120632232395
34,1,B,0.3156705806977498
35,5,C,0.6106203582881782
36,6,C,0.620646427242177
37,2,A,0.5888372693372242
38,1,B,0.7458746585623673
39,8,B,0.9045221511397498
40,3,A,0.6352073167936577
41,5,B,0.19155319031723395
42,0,A,0.11439361377953283
43,2,A,0.22427003264468803
44,6,B,0.8778890691025883
45,2,C,0.8753486929474098
46,4,A,0.3894798265641125
47,4,B,0.7713798666907855
48,6,C,0.5998943266771357
49,3,C,0.7767858605425656
50,0,A,0.49466614947783094
51,6,B,0.5298927266905252
52,4,B,0.445134453119731
53,7,B,0.311793033629987
54,6,B,0.408843524647019
55,7,C,0.07402414182880723
56,1,C,0.0365978363577264
57,5,A,0.518837134710944
58,7,C,0.11776652556227729
59,9,C,0.6778202066995638
60,2,B,0.881675157463594
61,4,C,0.9369936107341152
62,8,B,0.8534588646223014
63,1,C,0.29409830449184204
64,2,A,0.05732548065392473
65,1,C,0.7075643599481141
66,1,A,0.5356238906875308
67,3,C,0.6093589893387886
68,5,A,0.09127962721945981
69,9,C,0.2048086965625726
70,0,B,0.05656190168101871
71,8,B,0.1358432290824877
72,1,A,0.1080409546815152
73,6,A,0.11080769912092436
74,3,C,0.6578750044133267
75,3,C,0.12493304807377226
76,5,C,0.9010002848968246
77,9,C,0.37232505575861263
78,7,C,0.2817420032852608
79,9,B,0.03972218537556149
80,2,C,0.8990106359253516
81,3,A,0.9860372986476905
82,3,A,0.4578455274702544
83,3,A,0.7250976484243177
84,8,C,0.581370919009343
85,6,C,0.30176199928953273
86,9,A,0.05193920865216639
87,7,B,0.7261240251611506
88,6,A,0.15441895108788084
89,3,A,0.9825045497689443
90,9,B,0.7902252505474924
91,6,B,0.04808446116356224
92,6,A,0.38287327248462566
93,6,B,0.6583983696788632
94,1,B,0.032522269616684474
95,3,A,0.5394713638570482
96,4,B,0.06308619416680661
97,3,A,0.5489520645443938
98,1,A,0.36480732735691634
99,0,C,0.3382283802039848
100,5,C,0.19777464064190697
101,8,A,0.2497758322701542
102,6,A,0.7553440569240897
103,8,C,0.5138698142023036
104,9,B,0.433357561188921
105,1,C,0.5762835714821294
106,0,B,0.07572232280985658
107,3,B,0.5826524311941372
108,1,B,0.1598509085018428
109,3,B,0.2379639930624351
110,4,C,0.12354127643869606
111,7,C,0.7886998481901077
112,6,C,0.28739848239191046
113,1,A,0.6825424277174363
114,4,C,0.4022951876117973
115,3,B,0.8175434114328402
116,3,B,0.77109967626671
117,7,A,0.6718251878582125
118,6,A,0.7891050639030763
119,8,B,0.564837361946196
120,6,A,0.43232645797910596
121,4,C,0.20786124247677706
122,4,B,0.12202875776830235
123,7,B,0.9965326133831918
124,0,A,0.5441401054189222
125,0,C,0.3917407767936727
126,9,A,0.7533463724778394
127,8,C,0.7079465919729048
128,8,B,0.5466659541708756
129,4,C,0.3149821847096509
130,8,B,0.33257149356016313
131,6,C,0.9861416816297245
132,1,B,0.6678538208369336
133,6,C,0.04724135188810896
134,8,B,0.7326591386273924
135,7,B,0.4969755329329185
136,9,C,0.8972125868128493
137,1,B,0.7772778090826924
138,7,B,0.9382614869714976
139,1,B,0.6921092511834415
140,7,B,0.3855226734897158
141,9,C,0.7253620294457974
142,8,A,0.09823228935084438
143,7,A,0.1820526680403748
144,1,A,0.2978140239943097
145,3,B,0.8413183387130929
146,1,A,0.3233593235614738
147,8,A,0.914876122989377
148,7,A,0.3494441130047552
149,5,A,0.1684937756383551
150,1,A,0.41325695245585425
151,2,C,0.057479837853156246
152,5,B,0.1874803582180946
153,2,A,0.09797692127049851
154,2,B,0.1983987580003468
155,9,B,0.2509144401722925
156,3,C,0.6196600554581094
157,2,B,0.4875382054233376
158,6,A,0.8312397282273005
159,7,C,0.7065560284116678
160,9,B,0.09571625281294249
161,1,A,0.19309210887294137
162,3,C,0.10391997410422138
163,8,C,0.04358608790431284
164,3,B,0.6468138418241267
165,7,C,0.9934666312482338
166,9,B,0.9866303604713377
167,9,B,0.10063573977855578
168,3,B,0.9561889154489251
169,3,A,0.1390283990873823
170,5,B,0.45922434508434984
171,6,B,0.7139920775600597
172,0,B,0.2585147933122304
173,8,C,0.23488648278460023
174,7,A,0.09459521192255194
175,7,A,0.6612446417206558
176,4,A,0.3655506491490943
177,4,B,0.7579088746672903
178,5,B,0.906071635393135
179,0,C,0.29480800486102965
180,8,B,0.6632819891278208
181,9,A,0.01120650548191704
182,2,A,0.7709634627838244
183,5,C,0.5889613293880653
184,1,A,0.4233950865302596
185,5,C,0.3916808679860606
186,9,B,0.6661201478658443
187,2,A,0.04325516322200318
188,4,A,0.8148269049459563
189,3,B,0.32673299722998617
190,0,A,0.18641906727602386
191,3,C,0.1550100486844075
192,7,C,0.6312602214490036
193,7,C,0.7403189785006525
194,2,B,0.8624486427193251
195,5,A,0.86597041811548
196,1,B,0.5090235306210433
